fraction_removed,strategy,seed,num_nodes,largest_component_fraction,network_efficiency,component_count,reachability,lcc_mean,lcc_std,efficiency_mean,efficiency_std,components_mean
0.0,pagerank,,1000,1.0,0.37617047046835733,1,1.0,1.0,0.0,0.37617047046835733,0.0,1
0.01,pagerank,,990,1.0,0.3738897570224258,1,1.0,1.0,0.0,0.3738897570224258,0.0,1
0.02,pagerank,,980,1.0,0.37187741899469906,1,1.0,1.0,0.0,0.37187741899469906,0.0,1
0.05,pagerank,,950,1.0,0.36375231545621906,1,1.0,1.0,0.0,0.36375231545621906,0.0,1
0.1,pagerank,,900,1.0,0.35021884398436587,1,1.0,1.0,0.0,0.35021884398436587,0.0,1
0.15,pagerank,,850,0.9988235294117647,0.33474749994408803,2,0.9976470588235294,0.9988235294117647,0.0,0.33474749994408803,0.0,2
0.2,pagerank,,800,0.99875,0.3204431059669197,2,0.9975,0.99875,0.0,0.3204431059669197,0.0,2
0.3,pagerank,,700,0.9857142857142858,0.2894404542928938,11,0.9716125076640099,0.9857142857142858,0.0,0.2894404542928938,0.0,11
