fraction_removed,strategy,seed,num_nodes,largest_component_fraction,network_efficiency,component_count,reachability,lcc_mean,lcc_std,efficiency_mean,efficiency_std,components_mean
0.0,degree,,1000,1.0,0.37617047046835733,1,1.0,1.0,0.0,0.37617047046835733,0.0,1
0.01,degree,,990,1.0,0.3696940078217115,1,1.0,1.0,0.0,0.3696940078217115,0.0,1
0.02,degree,,980,1.0,0.3650513504673787,1,1.0,1.0,0.0,0.3650513504673787,0.0,1
0.05,degree,,950,1.0,0.3504791377811973,1,1.0,1.0,0.0,0.3504791377811973,0.0,1
0.1,degree,,900,0.9988888888888889,0.32422745437513983,2,0.9977777777777778,0.9988888888888889,0.0,0.32422745437513983,0.0,2
0.15,degree,,850,0.9858823529411764,0.29415047526776084,13,0.9719476200374143,0.9858823529411764,0.0,0.29415047526776084,0.0,13
0.2,degree,,800,0.9475,0.2530785207701411,43,0.8976939924906132,0.9475,0.0,0.2530785207701411,0.0,43
0.3,degree,,700,0.8185714285714286,0.16161465491353375,127,0.6698508072757,0.8185714285714286,0.0,0.16161465491353375,0.0,127
