fraction_removed,strategy,seed,num_nodes,largest_component_fraction,network_efficiency,component_count,reachability,lcc_mean,lcc_std,efficiency_mean,efficiency_std,components_mean
0.0,betweenness,,1000,1.0,0.37617047046835733,1,1.0,1.0,0.0,0.37617047046835733,0.0,1
0.01,betweenness,,990,1.0,0.37133958390608063,1,1.0,1.0,0.0,0.37133958390608063,0.0,1
0.02,betweenness,,980,1.0,0.3670318178330341,1,1.0,1.0,0.0,0.3670318178330341,0.0,1
0.05,betweenness,,950,1.0,0.3544413140330877,1,1.0,1.0,0.0,0.3544413140330877,0.0,1
0.1,betweenness,,900,0.9977777777777778,0.3316838462507425,3,0.995558027437894,0.9977777777777778,0.0,0.3316838462507425,0.0,3
0.15,betweenness,,850,0.9941176470588236,0.3114758110560686,6,0.9882630083835654,0.9941176470588236,0.0,0.3114758110560686,0.0,6
0.2,betweenness,,800,0.9875,0.29260393944885205,11,0.9751408010012516,0.9875,0.0,0.29260393944885205,0.0,11
0.3,betweenness,,700,0.9328571428571428,0.2297661414584034,48,0.8701328428367054,0.9328571428571428,0.0,0.2297661414584034,0.0,48
